Date,DBC,GLD,HYG,IEF,LQD,QQQ,SPY,VGK,VT
04/03/2021,15.30818653,159.0399933,67.14133453,101.4101181,109.3240509,295.4873962,352.6796265,52.63899994,85.58760834
05/03/2021,15.62298393,159.1399994,67.34346771,101.2685242,109.1810303,299.9377441,359.1676941,53.00781631,86.7615509
08/03/2021,15.40712261,157.4900055,66.85365295,100.8702469,108.1629028,291.4452209,357.3795471,52.93920517,86.14273071
09/03/2021,15.40712261,160.8399963,66.94698334,101.3481445,108.9790649,302.9401245,362.4820251,53.76262283,87.48044586
10/03/2021,15.50605869,161.6600037,67.15686798,101.5606079,109.4923477,302.0753784,364.7382813,54.12287521,87.88995361
11/03/2021,15.73990726,161.5200043,67.40565491,101.5251617,109.5596695,309.0325623,368.4364929,54.62036133,89.01837158
12/03/2021,15.66795444,161.4900055,67.21909332,100.7905731,108.2975769,306.5257263,368.9326782,54.58604813,89.02748871
15/03/2021,15.61398983,162.1999969,67.22686005,100.914505,108.6677628,309.800293,371.132843,54.50886154,89.40059662
16/03/2021,15.55103111,162.3500061,67.07138062,100.8967743,108.5920639,311.5007324,370.6646729,54.57748413,89.32779694
17/03/2021,15.55103111,163.5099945,67.16466522,100.7286224,108.6929855,312.7833252,371.9285889,54.86052322,89.71000671
18/03/2021,14.81350231,162.5599976,66.6515274,100.1002197,108.0703659,303.2025452,366.5171204,54.18291473,88.39955902
19/03/2021,15.13729477,163.2400055,66.90809631,100.0382538,108.2302246,304.2713928,365.8389893,54.21721649,88.49058533
22/03/2021,15.11031246,163,67.14910126,100.3657379,108.6172867,309.977417,368.7602234,54.40759659,88.88562775
23/03/2021,14.68758392,161.8099976,67.21909332,100.8613739,108.9370422,308.6250916,365.8578186,53.61509323,87.78164673
24/03/2021,15.0743351,162.3699951,67.25795746,100.9941406,109.2651596,303.4201355,363.9979858,53.52033234,87.07909393
25/03/2021,14.73255444,161.7799988,67.37458038,100.8613739,109.1389694,302.8946838,366.0456238,53.79598236,87.58090973
26/03/2021,15.08333015,162.2400055,67.57669067,100.5250397,109.0632095,307.4382019,371.944458,54.51095963,88.94950867
